OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNC,EXCEPTRSND,SEVERITYCO,SEVERITYDE,COLLISIONT,PERSONCOUN,PEDCOUNT,PEDCYLCOUN,VEHCOUNT,INJURIES,SERIOUSINJ,FATALITIES,INCDATE,INCDTTM,JUNCTIONTY,SDOT_COLCO,SDOT_COLDE,INATTENTIO,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTG,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKK,HITPARKEDC,geometry,near_str_index,min_length,weather_group,date,time,hour,dayofweek,weekday,rushhour,weather_group2
1015,63600,63600,2188744,Matched,Intersection,35587.0,1ST AVE NW AND NW 143RD ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2006-05-16T00:00:00.000Z,5/16/2006 6:30:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,6136002.0,,45.0,Vehicle - Pedalcyclist,0,0,N,POINT (1265176.677676335 270845.8969054073),2284.0,0.0,Clear or Partly Cloudy,2006-05-16,06:30:00,6.0,1,1,0.0,Clear or Partly Cloudy
1031,76900,76900,2620912,Matched,Intersection,29072.0,BROADWAY AND E HOWELL ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-02-27T00:00:00.000Z,2/27/2007 10:40:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7058004.0,,45.0,Vehicle - Pedalcyclist,6828,0,N,POINT (1273573.179700941 228816.6565423608),11910.0,0.0,Clear or Partly Cloudy,2007-02-27,10:40:00,10.0,1,1,0.0,Clear or Partly Cloudy
1105,66700,66700,2806857,Matched,Intersection,38204.0,68TH AVE S AND RAINIER AVE S,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-06-02T00:00:00.000Z,6/2/2007,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7153002.0,,45.0,Vehicle - Pedalcyclist,5012,0,N,POINT (1290743.220806524 189838.2621344477),3727.0,0.0,Clear or Partly Cloudy,2007-06-02,00:00:00,,5,0,,Clear or Partly Cloudy
1219,82300,82300,2894257,Matched,Block,,EAST MARGINAL WAY S BETWEEN S RIVER ST AND S BRIGHTON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-08-05T00:00:00.000Z,8/5/2008,Mid-Block (but intersection related),21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,8218038.0,,45.0,Vehicle - Pedalcyclist,20579,0,N,POINT (1271403.979314715 201517.6661784053),15724.0,4.358224806775231e-06,Clear or Partly Cloudy,2008-08-05,00:00:00,,1,1,,Clear or Partly Cloudy
1320,124600,124600,3562409,Matched,Intersection,26818.0,WOODLAND PARK AVE N AND N 43RD N ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-12-07T00:00:00.000Z,12/7/2011 9:57:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,11341002.0,,45.0,Vehicle - Pedalcyclist,0,0,N,POINT (1268019.223855242 244249.3618381619),3839.0,0.0,Clear or Partly Cloudy,2011-12-07,21:57:00,21.0,2,1,0.0,Clear or Partly Cloudy
1330,126100,126100,3466379,Matched,Intersection,37268.0,13TH AVE NW AND NW 85TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-06-07T00:00:00.000Z,6/7/2011,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,11158014.0,,45.0,Vehicle - Pedalcyclist,0,0,N,POINT (1261301.802536368 255711.2234819084),9244.0,0.0,Clear or Partly Cloudy,2011-06-07,00:00:00,,1,1,,Clear or Partly Cloudy
1360,126500,126500,3377751,Matched,Intersection,29591.0,3RD AVE AND UNION ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-01-13T00:00:00.000Z,1/13/2011 11:30:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,Y,11013009.0,,45.0,Vehicle - Pedalcyclist,0,522180,N,POINT (1269552.961328819 225678.7565071434),2713.0,0.0,Overcast,2011-01-13,11:30:00,11.0,3,1,0.0,Clear or Partly Cloudy
1396,141400,141400,3593588,Matched,Block,,LAKE WASHINGTON BLVD E BETWEEN E MADISON ST AND ARBORETUM DR E,,,2b,Serious Injury Collision,Cycles,5,0,1,1,1,1,0,2012-08-05T00:00:00.000Z,8/5/2012 5:33:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,Y,Clear or Partly Cloudy,Dry,Daylight,,12218017.0,,45.0,Vehicle - Pedalcyclist,8944,0,N,POINT (1280506.198972031 232193.5976018161),21803.0,4.019627683587087e-06,Clear or Partly Cloudy,2012-08-05,17:33:00,17.0,6,0,1.0,Clear or Partly Cloudy
1399,140700,140700,3504261,Matched,Intersection,24760.0,20TH AVE NE AND NE 75TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2012-07-24T00:00:00.000Z,7/24/2012 5:34:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,12206022.0,,45.0,Vehicle - Pedalcyclist,0,524374,N,POINT (1277518.932280973 252628.4361507446),4228.0,0.0,Clear or Partly Cloudy,2012-07-24,17:34:00,17.0,1,1,1.0,Clear or Partly Cloudy
1452,102500,102500,2899046,Matched,Block,,24TH AVE E BETWEEN E NEWTON S ST AND E NEWTON N ST,,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2009-07-12T00:00:00.000Z,7/12/2009 9:05:00 AM,Mid-Block (not related to intersection),66,PEDALCYCLIST STRUCK OBJECT IN ROAD,,0,Raining,Wet,Daylight,,9193005.0,Y,45.0,Vehicle - Pedalcyclist,22327,0,N,POINT (1278474.305081949 235988.6681337059),18679.0,3.268255098212485e-05,Raining,2009-07-12,09:05:00,9.0,6,0,1.0,Raining
